name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"bloomington, mn",2024-06-01,75.4,61.4,67.6,75.4,61.4,67.6,55.8,69.5,0.128,100,25,rain,0,0,11.4,7.6,247.8,1013.9,64.5,9.6,251.7,22.1,10,10,2024-06-01T05:30:13,2024-06-01T20:52:43,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-02,76.8,58.6,67.1,76.8,58.6,67.1,56,68.8,0.102,100,16.67,rain,0,0,33.8,18.6,149,1011.7,53.3,9.7,81,7.1,5,10,2024-06-02T05:29:43,2024-06-02T20:53:31,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-03,82.5,63.6,72.7,83.9,63.6,73.1,62.3,71.3,0.836,100,25,rain,0,0,33.4,16.4,203.1,1003.7,67.8,9.4,184.5,16.1,10,60,2024-06-03T05:29:15,2024-06-03T20:54:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-04,85.1,61.4,73.6,87.6,61.4,74.1,64.6,75.7,0.231,100,25,rain,0,0,35.9,20.5,179.6,1001.7,41.8,9,166.3,14.3,10,60,2024-06-04T05:28:50,2024-06-04T20:55:03,0.93,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-05,78,56.3,66.5,78,56.3,66.5,51.3,61,0.014,100,4.17,rain,0,0,49.3,27.8,258.5,1000.9,28.4,9.9,177.3,15.4,9,10,2024-06-05T05:28:27,2024-06-05T20:55:46,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-06,70.9,61.3,65.5,70.9,61.3,65.5,45.9,49.2,0,0,0,,0,0,42,22.9,292.8,1004.3,52.7,9.9,106.2,9.2,5,10,2024-06-06T05:28:06,2024-06-06T20:56:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-07,76.9,57.7,67.9,76.9,57.7,67.9,44.4,45.6,0,0,0,,0,0,23.9,12.4,289.6,1009.6,17.2,9.9,192.6,16.6,9,10,2024-06-07T05:27:47,2024-06-07T20:57:08,0.04,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-08,76.6,58,66.9,76.6,58,66.9,48.8,55.4,0.054,100,20.83,rain,0,0,23,14.7,329.6,1011,51,9.8,254.7,21.9,10,10,2024-06-08T05:27:31,2024-06-08T20:57:46,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-09,72.3,58.1,65.7,72.3,58.1,65.7,45.5,48.9,0,0,0,,0,0,35.5,20.4,337.3,1014.8,23.6,9.9,239.5,20.7,9,10,2024-06-09T05:27:17,2024-06-09T20:58:22,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-10,74.4,52.5,64.6,74.4,52.5,64.6,44.5,51.5,0,0,0,,0,0,23,11.5,70.1,1017.1,23.4,9.8,233.8,20.2,9,10,2024-06-10T05:27:06,2024-06-10T20:58:57,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-11,82.9,58.1,70.5,81.8,58.1,70.2,49.9,49.7,0.044,100,12.5,rain,0,0,27.8,16.4,226.9,1009.8,41,9.7,262.4,22.7,9,10,2024-06-11T05:26:56,2024-06-11T20:59:29,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-12,80,61.1,70.4,80,61.1,70.4,58.6,67.1,0.263,100,25,rain,0,0,33.3,23.6,184,1007.3,48.6,9.3,90,7.8,9,30,2024-06-12T05:26:49,2024-06-12T21:00:00,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-13,83.4,64.6,73.6,81.7,64.6,73.2,55.8,59.1,0.23,100,12.5,rain,0,0,31.1,15.8,304.8,1009.1,29,9.6,242.3,20.9,9,10,2024-06-13T05:26:44,2024-06-13T21:00:28,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-14,79.6,60.5,71.6,79.6,60.5,71.6,51.2,49.9,0,0,0,,0,0,18.3,9.5,319.4,1016.7,19.4,9.9,241.3,20.9,10,10,2024-06-14T05:26:42,2024-06-14T21:00:55,0.25,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-15,69.8,63.3,66.4,69.8,63.3,66.4,57.6,74.6,0.668,100,45.83,rain,0,0,26.4,15.4,130.6,1013.3,82.1,8.5,40.4,3.5,1,10,2024-06-15T05:26:42,2024-06-15T21:01:19,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-16,88,64.4,76.5,94,64.4,78.7,67.4,75.2,1.005,100,20.83,rain,0,0,30.6,17.9,192.8,1003.9,80.6,8.8,149.7,12.9,9,100,2024-06-16T05:26:44,2024-06-16T21:01:42,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-17,77.2,56.9,64.3,77.2,56.9,64.3,58.3,82.2,0.69,100,62.5,rain,0,0,37.3,17.4,33.8,1009,83.8,8.6,40.9,3.5,2,60,2024-06-17T05:26:48,2024-06-17T21:02:02,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-18,84.7,65.8,77,90.4,65.8,79.1,69.1,77.5,0.264,100,16.67,rain,0,0,40.4,23.5,178.7,1004.3,69.1,9.6,117.1,10.1,10,75,2024-06-18T05:26:55,2024-06-18T21:02:20,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-19,73.3,62.3,67.2,73.3,62.3,67.2,54.9,66.1,0.001,100,4.17,rain,0,0,21.9,13,318.4,1021.2,77.1,9.9,164.2,14.2,7,10,2024-06-19T05:27:04,2024-06-19T21:02:36,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-20,66.2,60.8,63.8,66.2,60.8,63.8,55.6,74.7,0.018,100,8.33,rain,0,0,12.8,11.2,49.1,1026.5,76.8,9.7,46.7,4.2,2,10,2024-06-20T05:27:15,2024-06-20T21:02:50,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-21,70.2,64.1,67.3,70.2,64.1,67.3,64,89.1,0.357,100,41.67,rain,0,0,25.3,11.4,71.9,1020.1,99.4,8.6,45.1,3.8,2,10,2024-06-21T05:27:28,2024-06-21T21:03:01,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-06-22,74.9,62.5,68.9,74.9,62.5,68.9,65.1,88,1.062,100,29.17,rain,0,0,22.9,12.4,4.4,1009.9,97.1,7.8,88.3,7.7,4,10,2024-06-22T05:27:43,2024-06-22T21:03:10,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
